image_id,image_path,image_filename,split,method,city_name,predicted_class_index,predicted_class_label,predicted_probability,gdino_model_id,sam_model_id,grounding_text_prompt,gdino_box_threshold,gdino_text_threshold,gdino_num_boxes,sam_num_masks,used_full_image_fallback,combined_mask_area,attribution_percentile,threshold_value,attribution_density,attribution_map_height,attribution_map_width,mask_height,mask_width,attribution_mass_inside,attribution_mass_outside,combined_iou,inside_ratio,coverage_ratio,attribution_area,intersection_area,union_area,sam_mask_area,runtime_seconds,status
PolycarbonateSheetMaterials__Valletta_Malta_heightNA_numstoriesNA_roofshapeNA_fpArea1207_imsat_36.744908012.88693898.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/PolycarbonateSheetMaterials/Valletta_Malta_heightNA_numstoriesNA_roofshapeNA_fpArea1207_imsat_36.744908012.88693898.jpg,Valletta_Malta_heightNA_numstoriesNA_roofshapeNA_fpArea1207_imsat_36.744908012.88693898.jpg,holdout,transformer_explainability,Valletta Malta,7,PolycarbonateSheetMaterials,0.999789297580719,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,2,2,False,310734,80.0,0.05507099032402039,0.20000053312861193,224,224,588,638,0.5983675623643917,0.4016324376356083,0.1244669346446571,0.5691132761998694,0.13741656851197487,75029,42700,343063,310734,4.733,success
PolycarbonateSheetMaterials__Lima_Peru_heightNA_numstories1_roofshapeNA_fpArea23776_imsat_-12.56833145-76.68236145.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/PolycarbonateSheetMaterials/Lima_Peru_heightNA_numstories1_roofshapeNA_fpArea23776_imsat_-12.56833145-76.68236145.jpg,Lima_Peru_heightNA_numstories1_roofshapeNA_fpArea23776_imsat_-12.56833145-76.68236145.jpg,holdout,transformer_explainability,Lima Peru Heightna Numstories1 Roofshapena Fparea23776 Imsat ,6,MetalSheetMaterials,0.9972602128982544,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,3,3,False,102608,80.0,0.04243946820497513,0.20000620751730344,224,224,202,638,0.8604566237742891,0.13954337622571092,0.20632176347884915,0.8518777157045313,0.21399890846717604,25776,21958,106426,102608,0.706,success
PolycarbonateSheetMaterials__Sarajevo_Bosnia_and_Herzegovina_heightNA_numstoriesNA_roofshapeNA_fpArea1324_imsat_43.8488911318.31734536.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/PolycarbonateSheetMaterials/Sarajevo_Bosnia_and_Herzegovina_heightNA_numstoriesNA_roofshapeNA_fpArea1324_imsat_43.8488911318.31734536.jpg,Sarajevo_Bosnia_and_Herzegovina_heightNA_numstoriesNA_roofshapeNA_fpArea1324_imsat_43.8488911318.31734536.jpg,holdout,transformer_explainability,Sarajevo Bosnia And Herzegovina,7,PolycarbonateSheetMaterials,0.6278399229049683,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,2,2,False,265428,80.0,0.030785739421844482,0.20000249784560817,224,224,638,502,0.613467889269014,0.386532110730986,0.17050399838004326,0.7492662670163607,0.18082116430821163,64056,47995,281489,265428,0.741,success
PolycarbonateSheetMaterials__Lima_Peru_heightNA_numstories2_roofshapeNA_fpArea44096_imsat_-11.29392935-77.3445416.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/PolycarbonateSheetMaterials/Lima_Peru_heightNA_numstories2_roofshapeNA_fpArea44096_imsat_-11.29392935-77.3445416.jpg,Lima_Peru_heightNA_numstories2_roofshapeNA_fpArea44096_imsat_-11.29392935-77.3445416.jpg,holdout,transformer_explainability,Lima Peru Heightna Numstories2 Roofshapena Fparea44096 Imsat ,6,MetalSheetMaterials,0.9896461367607117,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,5,5,False,92082,80.0,0.04777729287743575,0.20000211810556637,224,224,148,638,0.9904020515024734,0.009597948497526619,0.2042127424063202,0.9964522107492719,0.20436133011880714,18885,18818,92149,92082,0.642,success
PolycarbonateSheetMaterials__Lima_Peru_heightNA_numstoriesNA_roofshapeNA_fpArea41780_imsat_-10.61361005-77.84910445.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/PolycarbonateSheetMaterials/Lima_Peru_heightNA_numstoriesNA_roofshapeNA_fpArea41780_imsat_-10.61361005-77.84910445.jpg,Lima_Peru_heightNA_numstoriesNA_roofshapeNA_fpArea41780_imsat_-10.61361005-77.84910445.jpg,holdout,transformer_explainability,Lima Peru Heightna Numstoriesna Roofshapena Fparea41780 Imsat ,6,MetalSheetMaterials,0.9961822628974915,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,4,4,False,73033,80.0,0.06547259241342544,0.2000059147098835,224,224,159,638,0.834760083908318,0.16523991609168198,0.22064536381829358,0.8314357533638917,0.23097777716922488,20289,16869,76453,73033,0.679,success
PolycarbonateSheetMaterials__Lima_Peru_heightNA_numstoriesNA_roofshapeNA_fpArea34428_imsat_-11.61893955-77.1522215.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/PolycarbonateSheetMaterials/Lima_Peru_heightNA_numstoriesNA_roofshapeNA_fpArea34428_imsat_-11.61893955-77.1522215.jpg,Lima_Peru_heightNA_numstoriesNA_roofshapeNA_fpArea34428_imsat_-11.61893955-77.1522215.jpg,holdout,transformer_explainability,Lima Peru Heightna Numstoriesna Roofshapena Fparea34428 Imsat ,6,MetalSheetMaterials,0.9984630346298218,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,8,8,False,22443,80.0,0.047260512411594395,0.2,224,224,175,635,0.1756674142349347,0.8243325857650653,0.09231408798571883,0.16985376827896512,0.16820389431002986,22225,3775,40893,22443,0.688,success
PolycarbonateSheetMaterials__Hanoi_Vietnam_heightNA_numstoriesNA_roofshapeNA_fpArea1302_imsat_21.1100559105.46076125.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/PolycarbonateSheetMaterials/Hanoi_Vietnam_heightNA_numstoriesNA_roofshapeNA_fpArea1302_imsat_21.1100559105.46076125.jpg,Hanoi_Vietnam_heightNA_numstoriesNA_roofshapeNA_fpArea1302_imsat_21.1100559105.46076125.jpg,holdout,transformer_explainability,Hanoi Vietnam,6,MetalSheetMaterials,0.9928774237632751,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,1,1,False,193264,80.0,0.04647478088736534,0.20000324009947104,224,224,638,387,0.6685177445011766,0.3314822554988234,0.17404052720199734,0.7284030618443967,0.18611847007202584,49382,35970,206676,193264,0.784,success
AmorphousAsphalt__Sofia_Bulgaria_heightNA_numstoriesNA_roofshapeNA_fpArea3423_imsat_42.6910689523.3639081.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Sofia_Bulgaria_heightNA_numstoriesNA_roofshapeNA_fpArea3423_imsat_42.6910689523.3639081.jpg,Sofia_Bulgaria_heightNA_numstoriesNA_roofshapeNA_fpArea3423_imsat_42.6910689523.3639081.jpg,holdout,transformer_explainability,Sofia Bulgaria,10,AmorphousAsphalt,0.7645173072814941,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,4,4,False,340335,80.0,0.04587818756699562,0.20000153128804293,224,224,619,633,0.6897117565139393,0.3102882434860607,0.17165043653458698,0.7827501722685859,0.18023711930891623,78366,61341,357360,340335,0.694,success
AmorphousAsphalt__Bucharest_Romania_heightNA_numstoriesNA_roofshapeNA_fpArea6415_imsat_44.4448829726.05566014.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Bucharest_Romania_heightNA_numstoriesNA_roofshapeNA_fpArea6415_imsat_44.4448829726.05566014.jpg,Bucharest_Romania_heightNA_numstoriesNA_roofshapeNA_fpArea6415_imsat_44.4448829726.05566014.jpg,holdout,transformer_explainability,Bucharest Romania,10,AmorphousAsphalt,0.9903625845909119,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,3,3,False,218420,80.0,0.05513691157102585,0.2000010143325185,224,224,634,622,0.49223939358800767,0.5077606064119924,0.19543363572025993,0.6162292379865602,0.22251625309037634,78870,48602,248688,218420,0.695,success
AmorphousAsphalt__New_York_United_States_height27.2_numstoriesNA_roofshapeNA_fpArea1080_imsat_40.70240791-73.77863916.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/New_York_United_States_height27.2_numstoriesNA_roofshapeNA_fpArea1080_imsat_40.70240791-73.77863916.jpg,New_York_United_States_height27.2_numstoriesNA_roofshapeNA_fpArea1080_imsat_40.70240791-73.77863916.jpg,holdout,transformer_explainability,New York United States Height27.2 Numstoriesna Roofshapena Fparea1080 Imsat 40.70240791,10,AmorphousAsphalt,0.7596723437309265,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,4,4,False,289217,80.0,0.04523892700672151,0.20000115888955203,224,224,638,541,0.6894056640054597,0.31059433599454034,0.18080060647011323,0.7946169892223897,0.1896638164423253,69032,54854,303395,289217,0.703,success
